symbol,market_cap
JBCHEPHARM,27938.35
JBMA,24015.99
JCHAC,4959.35
JETAIRWAYS,499.71
JETFREIGHT,62.65
JFLLIFE,47.84
JGCHEM,972.79
JHS,168.95
JINDALPHOT,689.36
JINDALPOLY,2670.97
JINDALSAW,17925.42
JINDALSTEL,107037.84
JINDRILL,1844.21
JINDWORLD,7098.42
JIOFIN,227892.3
JISLDVREQS,76.19
JISLJALEQS,5112.8
JITFINFRA,2380.16
JIWANRAM,35.14
JKCEMENT,33225.35
JKIL,6578.36
JKLAKSHMI,9801.33
JKPAPER,8409.13
JKTYRE,10220.37
JLHL,8205.92
JMA,249.42
JMFINANCIL,7902.75
JNKINDIA,4616.54
JOCIL,169.75
JPASSOCIAT,2663.24
JPOLYINVST,792.7
JPPOWER,13014.72
JSFB,7656.01
JSL,65216.02
JSLL,2672.47
JSWENERGY,121994.24
JSWHL,7614.34
JSWINFRA,63472.55
JSWSTEEL,223832.4
JTEKTINDIA,4895.41
JTLIND,3919.73
JUBLFOOD,35839.49
JUBLINDS,2395.67
JUBLINGREA,8880.72
JUBLPHARMA,11616.37
JUNIORBEES,4968.45
JUNIPER,10601.13
JUSTDIAL,8476.39
JWL,27788.59
JYOTHYLAB,16087.41
JYOTICNC,30772.62
JYOTISTRUC,2448.84
K2INFRA,232.05
KABRAEXTRU,1428.64
KAJARIACER,21372.46
KAKATCEM,178.02
KALAMANDIR,2568.88
KALYANIFRG,241.24
KALYANKJIL,43646.48
KAMATHOTEL,601.03
KAMDHENU,1481.45
KAMOPAINTS,1156.83
KANANIIND,59.95
KANDARP,26.92
KANORICHEM,522.57
KANPRPLA,230.79
KANSAINER,22634.63
KAPSTON,414.89
KARMAENG,77.4
KARNIKA,313.71
KARURVYSYA,17253.25
KAUSHALYA,24.62
KAVVERITEL,37.83
KAYA,569.86
KAYNES,24621.24
